ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
ARAUCA,Estrato 1,3 a 4,No sabe,Educación profesional completa,Si,Si,Nunca o rara vez comemos eso,3 a 5 veces por semana,1 o 2 veces por semana,Más de 3 horas,MIXTO,NO OFICIAL,A,TÉCNICO/ACADÉMICO,COMPLETA,44,59,46,44,50.0,242,06/16/2001 12:00:00 AM,M,NO
ARAUCA,Estrato 1,3 a 4,Primaria incompleta,Primaria incompleta,No,No,3 a 5 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,NO OFICIAL,A,,SABATINA,40,37,45,39,37.0,200,07/04/1981 12:00:00 AM,M,GENERACION E - GRATUIDAD
ARAUCA,Estrato 4,3 a 4,Secundaria (Bachillerato) incompleta,Técnica o tecnológica incompleta,No,No,1 o 2 veces por semana,Nunca o rara vez comemos eso,1 o 2 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,41,26,37,30,44.0,172,01/21/1999 12:00:00 AM,M,GENERACION E - GRATUIDAD
ARAUCA,-,7 a 8,Secundaria (Bachillerato) completa,Educación profesional completa,No,Si,1 o 2 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,60,52,60,57,48.0,283,08/07/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
ARAUCA,Estrato 3,3 a 4,Primaria incompleta,Primaria completa,No,No,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,57,68,63,51,47.0,294,12/16/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
ARAUCA,Estrato 4,9 o más,No sabe,No sabe,No,No,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,43,41,29,39,24.0,185,06/08/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
ARAUCA,Estrato 1,1 a 2,No sabe,Secundaria (Bachillerato) incompleta,No,No,Nunca o rara vez comemos eso,Todos o casi todos los días,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,53,61,56,51,58.0,277,12/17/1998 12:00:00 AM,M,GENERACION E - GRATUIDAD
ARAUCA,Estrato 2,5 a 6,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,No,No,1 o 2 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,52,40,38,39,38.0,210,02/04/2002 12:00:00 AM,M,NO
ARAUCA,Estrato 2,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Si,Si,Todos o casi todos los días,Todos o casi todos los días,1 o 2 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,TARDE,42,43,42,34,44.0,203,07/31/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
ARAUCA,Estrato 2,3 a 4,Primaria incompleta,Primaria incompleta,Si,Si,3 a 5 veces por semana,1 o 2 veces por semana,Todos o casi todos los días,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,43,50,43,44,56.0,229,03/05/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
ARAUCA,Estrato 3,3 a 4,Técnica o tecnológica incompleta,Educación profesional completa,Si,Si,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO,TARDE,63,67,55,59,62.0,305,12/26/2003 12:00:00 AM,M,NO
ARAUCA,Estrato 2,5 a 6,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,No,No,1 o 2 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,ACADÉMICO,SABATINA,50,37,39,36,35.0,200,01/04/2000 12:00:00 AM,M,GENERACION E - GRATUIDAD
ARAUCA,Estrato 2,3 a 4,Secundaria (Bachillerato) incompleta,Técnica o tecnológica completa,Si,Si,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,NOCHE,44,57,48,55,38.0,250,07/28/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
ARAUCA,Estrato 1,7 a 8,Primaria incompleta,Secundaria (Bachillerato) incompleta,No,No,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,48,51,51,35,49.0,232,04/14/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
ARAUCA,Estrato 1,7 a 8,Primaria incompleta,Primaria completa,Si,No,1 o 2 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,38,43,43,27,41.0,190,07/27/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
ARAUCA,Estrato 2,3 a 4,Educación profesional completa,Técnica o tecnológica completa,Si,No,Todos o casi todos los días,Todos o casi todos los días,1 o 2 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,54,44,43,52,57.0,245,11/18/2001 12:00:00 AM,F,GENERACION E - GRATUIDAD
ARAUCA,Estrato 2,7 a 8,Primaria completa,Secundaria (Bachillerato) completa,No,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,37,45,43,33,37.0,197,02/04/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
