ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
CAQUETA,Estrato 1,7 a 8,Primaria incompleta,Primaria incompleta,No,No,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,51,52,33,35,54.0,218,07/24/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
CAQUETA,Estrato 1,5 a 6,Ninguno,Ninguno,Si,Si,3 a 5 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,UNICA,41,45,39,44,41.0,211,03/28/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
CAQUETA,Estrato 1,3 a 4,Primaria incompleta,Primaria completa,No,No,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,46,48,49,39,42.0,226,01/01/1900 12:00:00 AM,M,GENERACION E - GRATUIDAD
CAQUETA,Estrato 1,1 a 2,Primaria incompleta,Primaria incompleta,No,No,1 o 2 veces por semana,1 o 2 veces por semana,Todos o casi todos los días,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,43,47,44,26,40.0,200,11/08/2000 12:00:00 AM,F,GENERACION E - GRATUIDAD
CAQUETA,Estrato 2,7 a 8,Primaria incompleta,Primaria incompleta,No,No,1 o 2 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,66,55,57,54,49.0,287,09/15/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
CAQUETA,Estrato 1,1 a 2,Primaria incompleta,Primaria incompleta,No,No,Nunca o rara vez comemos eso,3 a 5 veces por semana,Nunca o rara vez comemos eso,30 minutos o menos,MIXTO,NO OFICIAL,A,ACADÉMICO,SABATINA,44,45,37,39,37.0,205,02/13/1997 12:00:00 AM,F,GENERACION E - GRATUIDAD
CAQUETA,Estrato 1,3 a 4,Primaria incompleta,Primaria incompleta,No,No,3 a 5 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO,SABATINA,38,37,37,37,33.0,185,09/14/1996 12:00:00 AM,F,GENERACION E - GRATUIDAD
CAQUETA,Estrato 1,5 a 6,Primaria completa,Primaria incompleta,No,No,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,UNICA,56,60,55,48,47.0,271,09/13/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
CAQUETA,Sin Estrato,5 a 6,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,No,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,32,37,36,39,33.0,179,08/17/1995 12:00:00 AM,M,NO
CAQUETA,-,,,-,,,-,,-,,MIXTO,NO OFICIAL,A,ACADÉMICO,SABATINA,47,46,41,35,24.0,204,03/05/1999 12:00:00 AM,M,NO
CAQUETA,Estrato 1,5 a 6,Primaria incompleta,Primaria incompleta,No,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,58,48,44,52,41.0,249,11/07/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
CAQUETA,Estrato 2,5 a 6,Primaria incompleta,Ninguno,No,No,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,41,42,49,45,30.0,216,10/20/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
CAQUETA,Estrato 1,5 a 6,Primaria incompleta,Secundaria (Bachillerato) incompleta,Si,Si,3 a 5 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,68,61,52,55,55.0,293,03/05/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
CAQUETA,Estrato 2,1 a 2,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,No,No,1 o 2 veces por semana,3 a 5 veces por semana,Nunca o rara vez comemos eso,Más de 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,59,62,57,51,54.0,285,10/01/2001 12:00:00 AM,M,NO
