ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
CASANARE,Estrato 3,3 a 4,Educación profesional completa,Técnica o tecnológica completa,Si,Si,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,NO OFICIAL,A,,COMPLETA,48,71,61,55,69.0,298,10/26/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
CASANARE,Estrato 2,3 a 4,Educación profesional completa,Educación profesional completa,Si,Si,3 a 5 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,69,57,63,61,78.0,318,08/06/2002 12:00:00 AM,M,NO
CASANARE,Estrato 1,5 a 6,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,No,No,Nunca o rara vez comemos eso,Todos o casi todos los días,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,49,50,42,46,47.0,234,04/24/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
CASANARE,Estrato 1,3 a 4,Primaria incompleta,Primaria incompleta,No,No,3 a 5 veces por semana,3 a 5 veces por semana,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,46,48,40,32,39.0,207,02/23/2000 12:00:00 AM,F,GENERACION E - GRATUIDAD
CASANARE,Estrato 1,3 a 4,Primaria incompleta,Secundaria (Bachillerato) completa,No,No,1 o 2 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,32,40,42,33,31.0,182,04/13/2003 12:00:00 AM,M,NO
CASANARE,Estrato 2,7 a 8,Secundaria (Bachillerato) incompleta,Primaria incompleta,No,No,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,36,40,29,40,39.0,182,10/17/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
CASANARE,Estrato 3,3 a 4,Educación profesional incompleta,Postgrado,Si,Si,3 a 5 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,66,77,66,68,74.0,348,11/27/2002 12:00:00 AM,F,NO
CASANARE,Estrato 3,7 a 8,Primaria completa,Primaria incompleta,No,No,1 o 2 veces por semana,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,36,47,50,37,32.0,208,09/13/2000 12:00:00 AM,F,GENERACION E - GRATUIDAD
CASANARE,Estrato 2,3 a 4,Primaria completa,Primaria incompleta,No,No,1 o 2 veces por semana,Todos o casi todos los días,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,62,57,53,60,40.0,283,10/11/2001 12:00:00 AM,F,GENERACION E - GRATUIDAD
CASANARE,Estrato 2,1 a 2,Técnica o tecnológica completa,Secundaria (Bachillerato) completa,No,Si,Nunca o rara vez comemos eso,1 o 2 veces por semana,Nunca o rara vez comemos eso,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,61,58,56,52,63.0,286,07/15/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
CASANARE,-,5 a 6,No sabe,Secundaria (Bachillerato) completa,Si,Si,1 o 2 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,67,59,65,60,61.0,313,07/03/2001 12:00:00 AM,M,NO
CASANARE,Estrato 2,3 a 4,Secundaria (Bachillerato) incompleta,Primaria completa,No,Si,3 a 5 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,47,37,33,36,41.0,192,05/18/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
CASANARE,Estrato 1,3 a 4,Secundaria (Bachillerato) completa,Educación profesional completa,No,Si,3 a 5 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,61,55,49,46,45.0,261,12/21/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
CASANARE,Estrato 1,3 a 4,Secundaria (Bachillerato) incompleta,Primaria incompleta,No,No,1 o 2 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,TARDE,63,57,60,62,53.0,300,06/16/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
CASANARE,Estrato 2,3 a 4,Postgrado,Primaria incompleta,Si,Si,3 a 5 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,55,53,50,45,56.0,256,06/19/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
CASANARE,Estrato 1,5 a 6,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Si,Si,1 o 2 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,TARDE,61,58,53,54,54.0,282,03/03/2003 12:00:00 AM,M,GENERACION E - GRATUIDAD
CASANARE,Estrato 1,3 a 4,Primaria incompleta,Primaria incompleta,No,No,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,SABATINA,56,52,48,52,40.0,255,12/21/1994 12:00:00 AM,M,GENERACION E - GRATUIDAD
CASANARE,Estrato 2,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Si,Si,3 a 5 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,55,59,55,56,53.0,280,10/29/2000 12:00:00 AM,M,NO
CASANARE,Estrato 2,5 a 6,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,No,Si,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,54,52,41,40,45.0,233,03/01/2003 12:00:00 AM,M,GENERACION E - GRATUIDAD
CASANARE,Estrato 2,3 a 4,Técnica o tecnológica incompleta,Educación profesional incompleta,Si,Si,Nunca o rara vez comemos eso,3 a 5 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,63,57,60,65,63.0,307,02/23/2002 12:00:00 AM,F,NO
CASANARE,Estrato 1,7 a 8,Primaria incompleta,Primaria completa,No,No,1 o 2 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO,UNICA,45,51,41,32,45.0,212,09/08/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
CASANARE,Sin Estrato,3 a 4,Primaria incompleta,Primaria incompleta,Si,No,1 o 2 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,SABATINA,58,60,57,54,54.0,285,02/18/1994 12:00:00 AM,F,GENERACION E - GRATUIDAD
CASANARE,Estrato 1,5 a 6,Primaria completa,Educación profesional completa,No,No,3 a 5 veces por semana,Todos o casi todos los días,Todos o casi todos los días,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,56,65,69,63,56.0,313,07/10/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
CASANARE,Estrato 3,5 a 6,Secundaria (Bachillerato) incompleta,Primaria completa,Si,Si,1 o 2 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,NO OFICIAL,A,ACADÉMICO,SABATINA,55,54,55,36,43.0,247,09/22/1999 12:00:00 AM,F,NO
CASANARE,Estrato 3,3 a 4,Educación profesional completa,Educación profesional completa,Si,Si,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Más de 3 horas,MIXTO,NO OFICIAL,A,ACADÉMICO,COMPLETA,76,70,76,70,83.0,369,04/25/2003 12:00:00 AM,F,NO
CASANARE,Estrato 1,3 a 4,Técnica o tecnológica completa,Secundaria (Bachillerato) completa,Si,Si,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,42,49,54,31,40.0,218,05/30/2002 12:00:00 AM,F,NO
CASANARE,Estrato 2,7 a 8,No sabe,No sabe,No,Si,1 o 2 veces por semana,3 a 5 veces por semana,Todos o casi todos los días,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,50,47,42,41,43.0,224,12/07/2002 12:00:00 AM,F,NO
CASANARE,Estrato 1,7 a 8,Primaria completa,Primaria completa,No,No,1 o 2 veces por semana,Todos o casi todos los días,Nunca o rara vez comemos eso,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,45,45,43,41,39.0,216,06/25/2001 12:00:00 AM,F,GENERACION E - GRATUIDAD
CASANARE,Estrato 2,7 a 8,Primaria completa,Primaria incompleta,No,No,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,55,69,53,55,45.0,285,01/18/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
