ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
CAUCA,-,,,-,,,-,,-,,MIXTO,OFICIAL,A,TÉCNICO,SABATINA,40,43,39,39,36.0,200,12/01/1999 12:00:00 AM,F,GENERACION E - GRATUIDAD
CAUCA,-,9 o más,-,,-,Si,,-,,,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,32,28,29,32,28.0,150,08/09/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
CAUCA,Estrato 3,5 a 6,Postgrado,Postgrado,Si,Si,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,69,68,66,65,63.0,333,10/17/2001 12:00:00 AM,M,NO
CAUCA,Estrato 1,5 a 6,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,No,Si,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,38,26,38,43,41.0,183,08/13/1999 12:00:00 AM,M,GENERACION E - GRATUIDAD
CAUCA,Estrato 4,9 o más,Técnica o tecnológica completa,Técnica o tecnológica completa,Si,Si,Nunca o rara vez comemos eso,1 o 2 veces por semana,Todos o casi todos los días,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,29,29,23,25,25.0,132,05/06/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
CAUCA,Sin Estrato,9 o más,Primaria completa,Primaria incompleta,No,Si,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,31,35,30,25,32.0,152,09/09/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
CAUCA,Estrato 2,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Si,Si,Todos o casi todos los días,Todos o casi todos los días,1 o 2 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,ACADÉMICO,TARDE,54,53,49,38,52.0,244,12/02/2000 12:00:00 AM,F,NO
CAUCA,Estrato 1,3 a 4,Primaria incompleta,Primaria completa,No,No,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,46,54,45,42,47.0,234,10/21/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
CAUCA,Estrato 2,3 a 4,Primaria incompleta,Ninguno,Si,No,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,NO APLICA,COMPLETA,32,36,28,30,34.0,158,03/31/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
CAUCA,Estrato 2,5 a 6,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,No,No,3 a 5 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,46,49,40,24,23.0,192,07/12/2000 12:00:00 AM,M,GENERACION E - GRATUIDAD
