ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
CESAR,Estrato 1,5 a 6,Secundaria (Bachillerato) completa,Educación profesional incompleta,Si,Si,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,52,55,61,50,46.0,269,04/24/2004 12:00:00 AM,M,NO
CESAR,Estrato 1,3 a 4,Secundaria (Bachillerato) completa,Educación profesional completa,Si,Si,3 a 5 veces por semana,Todos o casi todos los días,Nunca o rara vez comemos eso,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,TARDE,56,56,63,48,66.0,283,01/29/2003 12:00:00 AM,M,NO
CESAR,Estrato 1,3 a 4,No Aplica,Secundaria (Bachillerato) completa,No,Si,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,49,38,40,47,30.0,212,02/13/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
CESAR,Estrato 3,5 a 6,Educación profesional completa,Educación profesional completa,Si,Si,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,COMPLETA,65,56,70,47,68.0,301,10/08/2003 12:00:00 AM,M,NO
CESAR,Estrato 3,5 a 6,Educación profesional completa,Educación profesional incompleta,Si,Si,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Más de 3 horas,MIXTO,NO OFICIAL,A,ACADÉMICO,MAÑANA,59,65,59,62,62.0,307,07/26/2001 12:00:00 AM,M,NO
CESAR,Estrato 1,3 a 4,Primaria completa,Primaria incompleta,Si,Si,1 o 2 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,50,51,38,38,31.0,216,11/13/2001 12:00:00 AM,M,NO
CESAR,Estrato 3,5 a 6,Técnica o tecnológica completa,Técnica o tecnológica completa,No,No,3 a 5 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,52,53,45,35,50.0,233,02/07/2003 12:00:00 AM,M,GENERACION E - GRATUIDAD
CESAR,Estrato 1,3 a 4,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,No,Si,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,40,39,37,32,36.0,185,04/01/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
CESAR,-,3 a 4,Secundaria (Bachillerato) completa,Primaria incompleta,No,Si,3 a 5 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,49,40,39,41,37.0,209,02/05/2002 12:00:00 AM,M,NO
CESAR,Estrato 1,3 a 4,Primaria incompleta,Primaria incompleta,No,No,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,TARDE,48,46,42,33,34.0,208,06/02/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
CESAR,Estrato 1,3 a 4,Primaria incompleta,Primaria incompleta,No,No,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,61,60,57,52,52.0,285,04/13/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
CESAR,Sin Estrato,5 a 6,Primaria completa,Primaria incompleta,No,No,Todos o casi todos los días,1 o 2 veces por semana,1 o 2 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,,MAÑANA,64,50,59,66,47.0,294,02/09/2003 12:00:00 AM,M,GENERACION E - GRATUIDAD
CESAR,Estrato 1,1 a 2,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,No,No,1 o 2 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,45,41,38,42,37.0,206,05/16/2002 12:00:00 AM,F,NO
CESAR,-,3 a 4,-,,-,No,,-,,,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,NOCHE,65,53,45,60,42.0,273,08/15/1983 12:00:00 AM,M,NO
