ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
CHOCO,Estrato 3,7 a 8,Educación profesional completa,Educación profesional incompleta,Si,Si,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Más de 3 horas,MIXTO,NO OFICIAL,A,NO APLICA,MAÑANA,66,57,56,56,61.0,295,11/17/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,-,3 a 4,-,,-,Si,,-,,,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,64,74,71,51,81.0,331,11/21/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
CHOCO,Sin Estrato,7 a 8,Primaria completa,Primaria completa,No,No,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,NO APLICA,MAÑANA,27,28,34,33,39.0,156,04/29/2003 12:00:00 AM,M,GENERACION E - GRATUIDAD
CHOCO,Estrato 1,7 a 8,Primaria incompleta,Primaria incompleta,No,Si,Todos o casi todos los días,3 a 5 veces por semana,Todos o casi todos los días,Entre 1 y 3 horas,MIXTO,OFICIAL,A,,MAÑANA,39,23,34,24,26.0,148,05/08/1996 12:00:00 AM,M,GENERACION E - GRATUIDAD
CHOCO,-,5 a 6,-,,-,No,,-,,,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,UNICA,36,28,22,26,42.0,145,04/08/2000 12:00:00 AM,M,GENERACION E - GRATUIDAD
CHOCO,Estrato 2,3 a 4,Educación profesional completa,Educación profesional completa,Si,Si,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,67,71,68,68,75.0,345,09/16/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,Estrato 1,9 o más,Secundaria (Bachillerato) completa,Primaria completa,Si,Si,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,,MAÑANA,36,25,37,25,38.0,157,05/18/1999 12:00:00 AM,M,GENERACION E - GRATUIDAD
CHOCO,Estrato 2,3 a 4,Técnica o tecnológica completa,Educación profesional completa,Si,Si,Todos o casi todos los días,3 a 5 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,55,63,50,38,44.0,255,01/28/2003 12:00:00 AM,M,NO
CHOCO,-,1 a 2,-,,-,No,Nunca o rara vez comemos eso,-,,,MIXTO,OFICIAL,A,ACADÉMICO,NOCHE,26,16,26,26,28.0,119,10/04/1964 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,Estrato 4,9 o más,Educación profesional completa,Secundaria (Bachillerato) completa,No,Si,1 o 2 veces por semana,Nunca o rara vez comemos eso,-,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,40,39,35,43,36.0,195,03/13/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,-,9 o más,-,,-,No,,-,,-,MIXTO,OFICIAL,A,NO APLICA,MAÑANA,34,22,32,20,38.0,139,07/26/1999 12:00:00 AM,M,GENERACION E - GRATUIDAD
CHOCO,Estrato 3,3 a 4,Primaria completa,Secundaria (Bachillerato) incompleta,No,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,36,26,37,32,37.0,165,01/23/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,Sin Estrato,7 a 8,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,No,Si,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,33,26,21,29,32.0,138,02/10/1968 12:00:00 AM,M,GENERACION E - GRATUIDAD
CHOCO,Estrato 2,5 a 6,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Si,No,3 a 5 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,UNICA,43,29,36,43,36.0,188,12/29/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,Estrato 1,7 a 8,Secundaria (Bachillerato) incompleta,Primaria completa,No,No,Todos o casi todos los días,1 o 2 veces por semana,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,31,20,30,24,27.0,132,08/12/1995 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,Estrato 5,5 a 6,Secundaria (Bachillerato) completa,Educación profesional incompleta,No,No,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,45,41,46,27,58.0,206,12/24/2003 12:00:00 AM,M,GENERACION E - GRATUIDAD
CHOCO,-,5 a 6,-,,-,Si,,-,,,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,37,36,48,42,45.0,205,03/01/2003 12:00:00 AM,M,GENERACION E - GRATUIDAD
CHOCO,Estrato 2,3 a 4,-,Secundaria (Bachillerato) completa,Si,Si,3 a 5 veces por semana,3 a 5 veces por semana,Nunca o rara vez comemos eso,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,64,57,57,48,47.0,279,07/11/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
CHOCO,Estrato 4,7 a 8,Educación profesional completa,Educación profesional completa,Si,Si,Todos o casi todos los días,3 a 5 veces por semana,Todos o casi todos los días,Más de 3 horas,MIXTO,NO OFICIAL,A,NO APLICA,MAÑANA,48,35,32,40,32.0,191,05/12/2003 12:00:00 AM,M,NO
CHOCO,Estrato 3,1 a 2,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,No,No,1 o 2 veces por semana,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,42,42,43,33,40.0,200,05/02/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
CHOCO,Estrato 1,3 a 4,Primaria incompleta,Primaria completa,Si,No,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,61,56,51,60,57.0,285,12/09/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
CHOCO,Estrato 1,5 a 6,Educación profesional completa,Educación profesional incompleta,No,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO,UNICA,51,58,53,53,48.0,267,08/15/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
CHOCO,Estrato 1,5 a 6,Primaria incompleta,Primaria incompleta,Si,No,3 a 5 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,SABATINA,44,51,38,32,47.0,208,08/17/1999 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,Estrato 1,5 a 6,Educación profesional incompleta,Educación profesional incompleta,Si,Si,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,NOCHE,32,32,29,32,39.0,159,09/19/2001 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,Estrato 1,5 a 6,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Si,Si,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,TARDE,59,58,52,50,50.0,272,05/30/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,Sin Estrato,3 a 4,Primaria incompleta,Secundaria (Bachillerato) completa,No,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,51,38,35,37,48.0,204,09/01/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,-,9 o más,-,,-,No,,-,,,MIXTO,OFICIAL,A,TÉCNICO,UNICA,49,35,38,35,26.0,191,02/07/2001 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,Estrato 1,1 a 2,Secundaria (Bachillerato) completa,Educación profesional incompleta,Si,No,1 o 2 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,59,50,51,30,45.0,237,11/25/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,Estrato 2,3 a 4,Primaria incompleta,Primaria incompleta,No,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,Nunca o rara vez comemos eso,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,48,44,45,43,29.0,219,02/09/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,Estrato 3,7 a 8,Secundaria (Bachillerato) completa,Educación profesional completa,Si,Si,1 o 2 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,TARDE,63,38,36,44,49.0,228,08/24/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
CHOCO,Estrato 2,3 a 4,Ninguno,Primaria completa,Si,Si,3 a 5 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,30 minutos o menos,MIXTO,OFICIAL,A,,MAÑANA,27,21,25,31,30.0,132,05/17/1997 12:00:00 AM,M,GENERACION E - GRATUIDAD
