ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
EXTRANJERO,Sin Estrato,3 a 4,Postgrado,Postgrado,Si,Si,Todos o casi todos los días,Todos o casi todos los días,1 o 2 veces por semana,Más de 3 horas,MIXTO,NO OFICIAL,A,NO APLICA,NOCHE,52,51,47,44,49.0,243,01/17/2003 12:00:00 AM,F,NO
EXTRANJERO,Sin Estrato,-,Educación profesional incompleta,Postgrado,No,-,Todos o casi todos los días,Todos o casi todos los días,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,NO OFICIAL,A,NO APLICA,NOCHE,68,59,64,58,74.0,316,09/30/2000 12:00:00 AM,M,NO
EXTRANJERO,Estrato 4,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Si,Si,3 a 5 veces por semana,Todos o casi todos los días,Todos o casi todos los días,Más de 3 horas,MIXTO,NO OFICIAL,A,NO APLICA,NOCHE,46,45,50,36,44.0,221,01/19/2000 12:00:00 AM,M,GENERACION E - GRATUIDAD
EXTRANJERO,Estrato 3,5 a 6,Técnica o tecnológica completa,Técnica o tecnológica incompleta,Si,Si,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,NO OFICIAL,A,NO APLICA,NOCHE,52,51,46,46,43.0,242,12/26/2001 12:00:00 AM,F,NO
EXTRANJERO,Estrato 2,3 a 4,Técnica o tecnológica incompleta,Secundaria (Bachillerato) completa,Si,Si,Todos o casi todos los días,Todos o casi todos los días,1 o 2 veces por semana,Más de 3 horas,MIXTO,NO OFICIAL,A,NO APLICA,NOCHE,48,58,37,43,26.0,225,05/04/1997 12:00:00 AM,M,NO
EXTRANJERO,Estrato 2,3 a 4,Técnica o tecnológica incompleta,Educación profesional incompleta,Si,Si,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,NO OFICIAL,A,NO APLICA,NOCHE,60,34,41,43,49.0,224,07/10/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
EXTRANJERO,Sin Estrato,3 a 4,Primaria completa,Primaria completa,Si,No,3 a 5 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,NO OFICIAL,A,NO APLICA,NOCHE,40,44,49,32,33.0,203,10/27/1999 12:00:00 AM,M,NO
EXTRANJERO,Estrato 2,7 a 8,No Aplica,No sabe,Si,No,Todos o casi todos los días,Nunca o rara vez comemos eso,1 o 2 veces por semana,Más de 3 horas,MIXTO,NO OFICIAL,A,NO APLICA,NOCHE,53,55,55,51,53.0,267,01/04/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
EXTRANJERO,Estrato 3,3 a 4,No sabe,Técnica o tecnológica completa,Si,Si,3 a 5 veces por semana,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,NO OFICIAL,A,NO APLICA,NOCHE,51,30,34,51,57.0,213,05/31/2001 12:00:00 AM,F,NO
EXTRANJERO,Sin Estrato,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Si,No,3 a 5 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,30 minutos o menos,MIXTO,NO OFICIAL,A,NO APLICA,NOCHE,56,48,42,45,54.0,241,10/24/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
