ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
GUAINIA,Sin Estrato,5 a 6,Secundaria (Bachillerato) completa,Primaria incompleta,No,No,Nunca o rara vez comemos eso,3 a 5 veces por semana,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,32,36,37,30,35.0,169,06/28/1999 12:00:00 AM,M,GENERACION E - GRATUIDAD
GUAINIA,-,3 a 4,-,,-,Si,,-,,,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,42,43,49,49,31.0,223,12/09/1999 12:00:00 AM,F,NO
GUAINIA,Estrato 3,3 a 4,Primaria completa,Primaria incompleta,No,No,3 a 5 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,38,30,36,30,32.0,167,10/24/2000 12:00:00 AM,F,NO
GUAINIA,Estrato 1,7 a 8,Secundaria (Bachillerato) incompleta,Primaria incompleta,No,No,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,29,43,44,36,27.0,186,06/04/1998 12:00:00 AM,M,GENERACION E - GRATUIDAD
GUAINIA,Estrato 1,7 a 8,Primaria incompleta,Primaria incompleta,No,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,1 o 2 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,55,57,48,55,44.0,265,09/26/2000 12:00:00 AM,M,GENERACION E - GRATUIDAD
GUAINIA,Estrato 1,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Si,Si,Nunca o rara vez comemos eso,3 a 5 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,67,60,50,52,53.0,285,06/18/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
GUAINIA,Sin Estrato,5 a 6,Primaria completa,Ninguno,No,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,38,41,40,32,30.0,186,07/09/1998 12:00:00 AM,M,GENERACION E - GRATUIDAD
GUAINIA,Estrato 2,3 a 4,Primaria incompleta,Primaria incompleta,No,No,Todos o casi todos los días,1 o 2 veces por semana,1 o 2 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,28,32,28,21,32.0,138,11/20/1994 12:00:00 AM,M,GENERACION E - GRATUIDAD
GUAINIA,Estrato 1,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Si,Si,3 a 5 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,47,42,42,25,24.0,189,12/20/1999 12:00:00 AM,F,NO
GUAINIA,Estrato 3,3 a 4,Educación profesional completa,Postgrado,Si,Si,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,51,56,59,56,57.0,278,05/19/2003 12:00:00 AM,M,NO
GUAINIA,Estrato 1,1 a 2,Educación profesional completa,Educación profesional completa,No,Si,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,56,63,54,40,50.0,265,11/12/2001 12:00:00 AM,M,NO
GUAINIA,Sin Estrato,9 o más,Ninguno,Primaria incompleta,No,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,1 o 2 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,43,41,41,32,35.0,195,08/04/1998 12:00:00 AM,M,NO
GUAINIA,Estrato 2,1 a 2,Ninguno,Ninguno,No,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,28,33,34,23,28.0,147,10/16/1997 12:00:00 AM,M,GENERACION E - GRATUIDAD
GUAINIA,-,,,-,,,-,,-,,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,55,55,59,50,44.0,270,09/20/2000 12:00:00 AM,M,NO
GUAINIA,Estrato 1,5 a 6,Primaria incompleta,Primaria incompleta,No,Si,1 o 2 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,66,60,54,54,36.0,284,07/26/1999 12:00:00 AM,F,GENERACION E - GRATUIDAD
GUAINIA,Sin Estrato,7 a 8,Ninguno,Ninguno,No,No,1 o 2 veces por semana,3 a 5 veces por semana,Nunca o rara vez comemos eso,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,39,37,38,42,40.0,195,02/08/1990 12:00:00 AM,F,GENERACION E - GRATUIDAD
GUAINIA,Estrato 1,5 a 6,No sabe,Educación profesional completa,No,Si,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,47,44,44,50,45.0,231,07/13/2001 12:00:00 AM,F,GENERACION E - GRATUIDAD
GUAINIA,Estrato 2,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Si,Si,1 o 2 veces por semana,Nunca o rara vez comemos eso,1 o 2 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,39,38,34,36,37.0,184,10/06/2000 12:00:00 AM,F,GENERACION E - GRATUIDAD
GUAINIA,Estrato 2,3 a 4,Secundaria (Bachillerato) incompleta,Primaria completa,Si,No,Nunca o rara vez comemos eso,Todos o casi todos los días,Todos o casi todos los días,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,62,67,61,52,58.0,302,07/12/2001 12:00:00 AM,F,NO
GUAINIA,Sin Estrato,3 a 4,Primaria incompleta,Secundaria (Bachillerato) completa,No,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,64,53,57,58,54.0,288,04/09/2001 12:00:00 AM,F,GENERACION E - GRATUIDAD
GUAINIA,Sin Estrato,-,Técnica o tecnológica completa,Técnica o tecnológica completa,No,-,3 a 5 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,50,53,55,33,37.0,235,10/12/2000 12:00:00 AM,M,NO
GUAINIA,Estrato 1,7 a 8,Secundaria (Bachillerato) incompleta,Primaria incompleta,No,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,Nunca o rara vez comemos eso,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,46,36,44,45,49.0,216,07/15/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
GUAINIA,Sin Estrato,3 a 4,Ninguno,Primaria completa,No,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,1 o 2 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,34,25,33,33,37.0,158,02/28/1993 12:00:00 AM,F,NO
