ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
GUAVIARE,Estrato 1,5 a 6,Primaria completa,Secundaria (Bachillerato) incompleta,No,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,37,46,44,31,37.0,197,07/06/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
GUAVIARE,Estrato 1,3 a 4,Primaria incompleta,Primaria incompleta,No,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,41,41,45,33,48.0,203,11/02/2001 12:00:00 AM,F,GENERACION E - GRATUIDAD
GUAVIARE,Estrato 1,7 a 8,Secundaria (Bachillerato) incompleta,Primaria incompleta,Si,No,1 o 2 veces por semana,3 a 5 veces por semana,Todos o casi todos los días,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,54,42,53,40,47.0,236,03/02/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
GUAVIARE,Sin Estrato,1 a 2,Ninguno,Ninguno,No,No,1 o 2 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,41,36,35,40,25.0,185,11/06/2001 12:00:00 AM,F,GENERACION E - GRATUIDAD
GUAVIARE,Sin Estrato,5 a 6,Primaria incompleta,Secundaria (Bachillerato) completa,Si,No,1 o 2 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,37,40,39,32,37.0,185,11/20/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
GUAVIARE,Sin Estrato,5 a 6,Primaria incompleta,Primaria completa,No,No,1 o 2 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,43,54,36,45,42.0,222,02/18/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
GUAVIARE,Estrato 1,5 a 6,Ninguno,Primaria incompleta,No,No,3 a 5 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,53,54,45,48,32.0,243,12/22/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
GUAVIARE,-,7 a 8,Primaria incompleta,-,No,No,Nunca o rara vez comemos eso,-,Nunca o rara vez comemos eso,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,NOCHE,40,32,34,25,30.0,163,10/09/1993 12:00:00 AM,M,NO
GUAVIARE,Estrato 1,9 o más,No sabe,Secundaria (Bachillerato) completa,Si,Si,3 a 5 veces por semana,Todos o casi todos los días,Todos o casi todos los días,Entre 1 y 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,64,71,64,56,59.0,317,07/12/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
GUAVIARE,Sin Estrato,5 a 6,Primaria incompleta,Primaria incompleta,No,No,Todos o casi todos los días,3 a 5 veces por semana,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,51,49,53,46,49.0,248,03/08/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
