ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
HUILA,Estrato 2,3 a 4,Primaria completa,Educación profesional completa,Si,Si,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Entre 1 y 3 horas,MIXTO,NO OFICIAL,A,TÉCNICO,COMPLETA,48,54,58,50,55.0,263,04/07/2003 12:00:00 AM,M,NO
HUILA,Estrato 2,3 a 4,No sabe,Técnica o tecnológica completa,Si,Si,1 o 2 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,NO OFICIAL,A,ACADÉMICO,MAÑANA,67,71,66,72,67.0,344,06/10/2003 12:00:00 AM,F,NO
HUILA,Estrato 1,3 a 4,Primaria completa,Primaria completa,No,No,1 o 2 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,UNICA,40,46,50,46,50.0,229,12/06/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
HUILA,Estrato 2,3 a 4,Primaria incompleta,Secundaria (Bachillerato) completa,Si,No,1 o 2 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,63,51,59,50,64.0,282,07/15/2001 12:00:00 AM,M,NO
HUILA,Estrato 1,3 a 4,Primaria incompleta,Secundaria (Bachillerato) incompleta,No,Si,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,-,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,68,62,64,69,58.0,326,03/16/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
HUILA,Estrato 1,3 a 4,Primaria incompleta,Secundaria (Bachillerato) completa,No,No,1 o 2 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,57,56,51,57,61.0,278,02/11/2003 12:00:00 AM,M,NO
HUILA,Estrato 1,3 a 4,Primaria incompleta,Secundaria (Bachillerato) completa,No,No,3 a 5 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,COMPLETA,61,57,60,59,46.0,291,06/20/2001 12:00:00 AM,F,GENERACION E - GRATUIDAD
HUILA,Estrato 1,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,No,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO,COMPLETA,58,54,56,35,51.0,254,10/27/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
HUILA,Estrato 2,5 a 6,Educación profesional completa,Educación profesional completa,No,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,COMPLETA,53,50,46,35,44.0,229,05/18/2002 12:00:00 AM,M,NO
HUILA,-,3 a 4,-,,-,No,,-,,,MIXTO,OFICIAL,A,TÉCNICO,UNICA,29,48,47,36,26.0,195,12/12/2002 12:00:00 AM,F,NO
HUILA,Estrato 5,3 a 4,No sabe,Educación profesional completa,Si,Si,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,NO OFICIAL,A,ACADÉMICO,COMPLETA,71,57,51,58,71.0,301,08/01/2002 12:00:00 AM,F,NO
