ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
META,Estrato 2,5 a 6,Técnica o tecnológica incompleta,Técnica o tecnológica completa,Si,Si,Nunca o rara vez comemos eso,1 o 2 veces por semana,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,TARDE,55,58,51,35,53.0,250,01/07/2001 12:00:00 AM,M,NO
META,Estrato 4,5 a 6,Primaria incompleta,Secundaria (Bachillerato) incompleta,No,No,3 a 5 veces por semana,1 o 2 veces por semana,Todos o casi todos los días,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,40,36,50,34,48.0,203,01/11/1999 12:00:00 AM,M,GENERACION E - GRATUIDAD
META,Estrato 1,9 o más,Primaria completa,Secundaria (Bachillerato) completa,No,No,3 a 5 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,68,66,58,71,46.0,321,07/02/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
META,Estrato 3,3 a 4,Primaria incompleta,Primaria incompleta,No,Si,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,62,65,50,46,45.0,275,05/30/2003 12:00:00 AM,M,NO
META,Estrato 2,3 a 4,Secundaria (Bachillerato) completa,Primaria incompleta,Si,Si,3 a 5 veces por semana,3 a 5 veces por semana,Nunca o rara vez comemos eso,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,COMPLETA,39,45,40,39,32.0,200,04/24/2001 12:00:00 AM,M,NO
META,Estrato 1,7 a 8,Ninguno,Primaria incompleta,No,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,50,40,49,32,37.0,212,07/30/2000 12:00:00 AM,M,GENERACION E - GRATUIDAD
META,Estrato 3,5 a 6,No sabe,Educación profesional incompleta,Si,No,3 a 5 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,NO OFICIAL,A,ACADÉMICO,MAÑANA,43,43,42,45,61.0,223,10/05/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
META,Estrato 2,5 a 6,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Si,No,3 a 5 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,35,24,33,26,25.0,146,05/31/2000 12:00:00 AM,F,GENERACION E - GRATUIDAD
META,Estrato 4,1 a 2,Ninguno,Ninguno,Si,Si,Todos o casi todos los días,3 a 5 veces por semana,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,NO OFICIAL,A,ACADÉMICO,MAÑANA,47,53,43,54,46.0,245,08/24/1960 12:00:00 AM,F,NO
META,Sin Estrato,3 a 4,Educación profesional completa,Secundaria (Bachillerato) incompleta,No,Si,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,TARDE,52,44,34,38,34.0,207,02/12/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
