ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
PUTUMAYO,Estrato 1,3 a 4,Secundaria (Bachillerato) completa,Primaria incompleta,No,No,3 a 5 veces por semana,1 o 2 veces por semana,Todos o casi todos los días,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,SABATINA,42,39,44,32,35.0,195,05/20/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
PUTUMAYO,Sin Estrato,5 a 6,Secundaria (Bachillerato) incompleta,Primaria completa,No,Si,Nunca o rara vez comemos eso,1 o 2 veces por semana,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,44,50,48,26,53.0,214,05/27/2003 12:00:00 AM,M,GENERACION E - GRATUIDAD
PUTUMAYO,Estrato 1,1 a 2,Ninguno,Ninguno,Si,No,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,SABATINA,32,32,37,29,34.0,163,01/26/1989 12:00:00 AM,M,GENERACION E - GRATUIDAD
PUTUMAYO,Estrato 3,5 a 6,Primaria incompleta,Primaria completa,No,No,3 a 5 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,SABATINA,38,37,31,33,42.0,177,11/21/2000 12:00:00 AM,M,GENERACION E - GRATUIDAD
PUTUMAYO,Estrato 1,7 a 8,Primaria completa,Primaria completa,Si,Si,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,31,29,34,29,41.0,158,11/11/1997 12:00:00 AM,M,GENERACION E - GRATUIDAD
PUTUMAYO,Estrato 1,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Si,No,3 a 5 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,50,64,55,43,43.0,261,04/04/2003 12:00:00 AM,M,GENERACION E - GRATUIDAD
PUTUMAYO,Estrato 4,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Si,Si,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,SABATINA,53,56,54,47,40.0,258,04/26/2001 12:00:00 AM,M,NO
PUTUMAYO,Estrato 1,5 a 6,Educación profesional completa,Técnica o tecnológica completa,Si,Si,1 o 2 veces por semana,3 a 5 veces por semana,Nunca o rara vez comemos eso,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,61,60,62,63,63.0,308,08/11/2000 12:00:00 AM,M,NO
PUTUMAYO,Estrato 1,7 a 8,Ninguno,Ninguno,No,No,1 o 2 veces por semana,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,52,57,44,38,39.0,235,07/13/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
PUTUMAYO,-,5 a 6,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Si,No,1 o 2 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,UNICA,49,52,40,42,46.0,229,01/25/2003 12:00:00 AM,M,GENERACION E - GRATUIDAD
