ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
QUINDIO,Estrato 3,5 a 6,Educación profesional incompleta,Técnica o tecnológica incompleta,Si,Si,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,64,70,62,52,82.0,318,05/01/2003 12:00:00 AM,M,NO
QUINDIO,Estrato 2,3 a 4,Secundaria (Bachillerato) incompleta,Primaria completa,No,No,1 o 2 veces por semana,3 a 5 veces por semana,-,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,62,59,61,58,54.0,298,10/06/2001 12:00:00 AM,M,NO
QUINDIO,-,5 a 6,-,,-,Si,,-,,,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,34,34,35,26,29.0,160,03/15/1999 12:00:00 AM,M,GENERACION E - GRATUIDAD
QUINDIO,Estrato 1,9 o más,Ninguno,Ninguno,No,No,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,34,24,36,26,36.0,152,07/26/1977 12:00:00 AM,F,GENERACION E - GRATUIDAD
QUINDIO,-,7 a 8,-,,-,No,,-,,,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,54,45,35,47,49.0,228,09/26/2000 12:00:00 AM,M,GENERACION E - GRATUIDAD
QUINDIO,Estrato 2,5 a 6,Primaria incompleta,Primaria completa,Si,No,3 a 5 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,UNICA,38,37,38,30,44.0,182,06/10/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
QUINDIO,Estrato 1,3 a 4,No sabe,Primaria incompleta,No,No,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Todos o casi todos los días,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,58,68,55,55,69.0,299,03/03/2003 12:00:00 AM,M,GENERACION E - GRATUIDAD
QUINDIO,Estrato 2,5 a 6,No sabe,Primaria completa,No,No,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,54,58,48,53,38.0,260,07/03/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
QUINDIO,-,3 a 4,-,,-,Si,,-,,,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,SABATINA,38,20,30,29,30.0,147,07/06/1978 12:00:00 AM,F,GENERACION E - GRATUIDAD
QUINDIO,Estrato 1,3 a 4,Primaria completa,Primaria incompleta,Si,Si,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,63,61,62,58,63.0,306,09/03/2002 12:00:00 AM,F,NO
