ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
SAN ANDRES,Estrato 5,5 a 6,Técnica o tecnológica completa,Postgrado,Si,Si,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,NO OFICIAL,A,ACADÉMICO,MAÑANA,69,64,62,63,69.0,324,10/30/2002 12:00:00 AM,M,NO
SAN ANDRES,Estrato 1,3 a 4,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,No,No,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,NOCHE,61,54,53,58,51.0,280,07/07/2000 12:00:00 AM,M,GENERACION E - GRATUIDAD
SAN ANDRES,Estrato 2,3 a 4,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,No,No,Nunca o rara vez comemos eso,Todos o casi todos los días,Nunca o rara vez comemos eso,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,47,51,46,38,61.0,233,11/09/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
SAN ANDRES,Estrato 3,5 a 6,No sabe,No sabe,No,Si,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,46,39,48,42,53.0,222,12/05/2000 12:00:00 AM,M,NO
SAN ANDRES,Estrato 1,3 a 4,Primaria completa,Secundaria (Bachillerato) completa,No,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,3 a 5 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,39,42,55,48,53.0,233,08/28/2002 12:00:00 AM,F,NO
SAN ANDRES,Estrato 2,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,No,Si,1 o 2 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,64,64,59,63,63.0,313,12/17/2002 12:00:00 AM,F,NO
SAN ANDRES,Estrato 2,-,Educación profesional completa,Técnica o tecnológica completa,Si,-,1 o 2 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,30 minutos o menos,MIXTO,NO OFICIAL,A,ACADÉMICO,COMPLETA,39,40,40,33,50.0,195,08/30/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
SAN ANDRES,Estrato 3,5 a 6,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Si,Si,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,TARDE,52,34,33,24,67.0,191,02/20/2001 12:00:00 AM,M,NO
SAN ANDRES,Estrato 1,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,No,No,3 a 5 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,45,46,41,35,40.0,208,07/16/2001 12:00:00 AM,F,GENERACION E - GRATUIDAD
SAN ANDRES,Estrato 3,7 a 8,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,No,Si,3 a 5 veces por semana,Todos o casi todos los días,Todos o casi todos los días,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,47,36,37,33,42.0,193,11/08/2002 12:00:00 AM,M,NO
