ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
SUCRE,Estrato 3,5 a 6,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Si,Si,Todos o casi todos los días,3 a 5 veces por semana,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,NO OFICIAL,A,ACADÉMICO,MAÑANA,68,66,63,77,51.0,336,12/07/2002 12:00:00 AM,M,NO
SUCRE,Estrato 4,3 a 4,Primaria incompleta,Primaria incompleta,No,No,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,48,48,46,41,40.0,227,09/02/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 1,5 a 6,Secundaria (Bachillerato) completa,Primaria completa,Si,Si,1 o 2 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO,UNICA,40,46,40,38,34.0,202,10/11/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 1,3 a 4,Primaria incompleta,Primaria incompleta,No,No,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,61,52,53,56,56.0,278,03/11/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 2,1 a 2,Técnica o tecnológica completa,Postgrado,Si,Si,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,NO OFICIAL,A,ACADÉMICO,MAÑANA,55,41,45,39,54.0,228,04/24/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 2,-,Secundaria (Bachillerato) incompleta,Técnica o tecnológica incompleta,Si,-,3 a 5 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,57,54,56,37,62.0,259,02/27/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 1,5 a 6,Primaria incompleta,Primaria incompleta,Si,Si,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,42,47,50,39,38.0,220,01/21/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 2,3 a 4,Postgrado,Postgrado,Si,Si,1 o 2 veces por semana,3 a 5 veces por semana,Nunca o rara vez comemos eso,Entre 30 y 60 minutos,MIXTO,NO OFICIAL,A,ACADÉMICO,MAÑANA,39,48,35,31,45.0,194,05/20/2002 12:00:00 AM,M,NO
SUCRE,-,1 a 2,-,,-,Si,,-,,,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,37,39,37,32,29.0,178,12/24/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 1,5 a 6,Ninguno,Primaria incompleta,No,No,1 o 2 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,44,43,45,49,36.0,223,12/14/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 1,5 a 6,Ninguno,Secundaria (Bachillerato) incompleta,No,No,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,26,42,38,32,36.0,173,11/25/2001 12:00:00 AM,F,GENERACION E - GRATUIDAD
SUCRE,Estrato 1,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Si,No,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,45,37,44,32,40.0,198,10/24/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
SUCRE,Estrato 3,3 a 4,Técnica o tecnológica incompleta,Técnica o tecnológica completa,No,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,Nunca o rara vez comemos eso,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,57,42,45,41,44.0,230,06/10/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
SUCRE,Estrato 1,3 a 4,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,No,No,Todos o casi todos los días,1 o 2 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,53,45,54,53,61.0,260,04/13/2001 12:00:00 AM,F,NO
SUCRE,-,,,-,,,-,,-,,MIXTO,OFICIAL,A,ACADÉMICO,TARDE,38,38,38,32,32.0,181,08/22/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 4,3 a 4,Educación profesional completa,Educación profesional completa,Si,Si,Todos o casi todos los días,3 a 5 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,NO OFICIAL,A,ACADÉMICO,MAÑANA,56,66,62,59,60.0,303,12/06/2002 12:00:00 AM,M,NO
SUCRE,Estrato 2,5 a 6,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Si,Si,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,NO OFICIAL,A,ACADÉMICO,MAÑANA,58,69,60,52,51.0,295,09/09/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 1,3 a 4,No sabe,Técnica o tecnológica completa,Si,Si,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Entre 1 y 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,50,63,69,61,58.0,303,03/21/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 2,5 a 6,Primaria incompleta,Secundaria (Bachillerato) completa,No,No,-,1 o 2 veces por semana,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,34,32,41,32,35.0,174,09/03/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 1,5 a 6,Primaria incompleta,Ninguno,No,No,1 o 2 veces por semana,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,46,52,44,38,38.0,222,02/16/2003 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 2,3 a 4,Primaria completa,Primaria incompleta,No,No,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Más de 3 horas,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,50,40,40,46,37.0,217,07/09/2000 12:00:00 AM,F,GENERACION E - GRATUIDAD
SUCRE,Estrato 2,5 a 6,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Si,No,1 o 2 veces por semana,Todos o casi todos los días,Nunca o rara vez comemos eso,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,42,56,49,36,47.0,229,06/03/2001 12:00:00 AM,M,NO
SUCRE,Estrato 1,5 a 6,Primaria incompleta,Secundaria (Bachillerato) incompleta,No,No,1 o 2 veces por semana,3 a 5 veces por semana,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,52,51,56,38,53.0,248,12/10/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
SUCRE,Estrato 1,3 a 4,Primaria incompleta,Secundaria (Bachillerato) incompleta,No,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,TARDE,56,71,62,60,68.0,313,01/02/2003 12:00:00 AM,F,GENERACION E - GRATUIDAD
SUCRE,Estrato 3,9 o más,Primaria incompleta,Primaria incompleta,No,No,1 o 2 veces por semana,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,UNICA,46,28,35,35,37.0,180,01/16/1999 12:00:00 AM,F,GENERACION E - GRATUIDAD
SUCRE,Estrato 2,3 a 4,Secundaria (Bachillerato) incompleta,Educación profesional completa,Si,Si,Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,Más de 3 horas,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,61,61,62,63,57.0,307,08/05/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
SUCRE,Estrato 2,3 a 4,Primaria completa,Secundaria (Bachillerato) completa,No,No,1 o 2 veces por semana,Todos o casi todos los días,Nunca o rara vez comemos eso,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,40,44,42,34,24.0,194,04/09/2002 12:00:00 AM,M,NO
SUCRE,Estrato 3,5 a 6,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,No,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,41,48,47,34,37.0,210,04/18/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
