ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,ESTU_DEDICACIONINTERNET,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_CARACTER,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,ESTU_FECHANACIMIENTO,ESTU_GENERO,ESTU_GENERACION-E
VICHADA,Estrato 1,5 a 6,Primaria incompleta,Primaria incompleta,No,No,3 a 5 veces por semana,Todos o casi todos los días,Nunca o rara vez comemos eso,Más de 3 horas,MIXTO,OFICIAL,A,NO APLICA,UNICA,32,36,38,42,38.0,185,07/15/2000 12:00:00 AM,M,GENERACION E - GRATUIDAD
VICHADA,Estrato 1,9 o más,Ninguno,Ninguno,Si,No,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,No Navega Internet,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,40,33,26,36,28.0,167,04/22/1994 12:00:00 AM,M,GENERACION E - GRATUIDAD
VICHADA,Estrato 1,5 a 6,Secundaria (Bachillerato) completa,Primaria completa,No,Si,1 o 2 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO,COMPLETA,32,40,47,29,38.0,185,07/10/1999 12:00:00 AM,M,GENERACION E - GRATUIDAD
VICHADA,Sin Estrato,3 a 4,Primaria incompleta,Secundaria (Bachillerato) incompleta,No,No,1 o 2 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,65,63,58,53,46.0,293,09/03/2001 12:00:00 AM,M,GENERACION E - GRATUIDAD
VICHADA,Estrato 1,3 a 4,Primaria incompleta,Técnica o tecnológica completa,No,No,1 o 2 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,59,46,56,57,49.0,270,10/14/2002 12:00:00 AM,F,GENERACION E - GRATUIDAD
VICHADA,Estrato 1,7 a 8,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,No,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,Nunca o rara vez comemos eso,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,41,39,39,36,35.0,192,02/02/1999 12:00:00 AM,F,NO
VICHADA,Sin Estrato,-,Primaria completa,Primaria incompleta,No,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,ACADÉMICO,MAÑANA,40,30,38,25,28.0,164,04/27/1997 12:00:00 AM,M,NO
VICHADA,Estrato 1,3 a 4,Primaria completa,Técnica o tecnológica incompleta,No,No,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO,COMPLETA,65,54,41,47,37.0,253,04/11/2003 12:00:00 AM,M,NO
VICHADA,Estrato 2,5 a 6,Educación profesional completa,Técnica o tecnológica completa,Si,Si,1 o 2 veces por semana,Todos o casi todos los días,Todos o casi todos los días,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,38,47,51,35,53.0,218,12/25/2002 12:00:00 AM,M,NO
VICHADA,Estrato 1,9 o más,Primaria completa,Primaria incompleta,No,Si,1 o 2 veces por semana,Nunca o rara vez comemos eso,1 o 2 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,NO APLICA,UNICA,36,39,40,29,42.0,182,09/11/1998 12:00:00 AM,F,GENERACION E - GRATUIDAD
VICHADA,Estrato 1,3 a 4,Secundaria (Bachillerato) completa,Ninguno,No,Si,1 o 2 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Entre 30 y 60 minutos,MIXTO,OFICIAL,A,TÉCNICO/ACADÉMICO,MAÑANA,39,46,39,39,39.0,203,10/16/2000 12:00:00 AM,M,NO
VICHADA,Sin Estrato,-,Primaria incompleta,Primaria incompleta,No,No,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,27,34,40,32,38.0,168,10/06/1997 12:00:00 AM,M,GENERACION E - GRATUIDAD
VICHADA,Estrato 1,5 a 6,No sabe,Primaria incompleta,No,No,1 o 2 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,30 minutos o menos,MIXTO,OFICIAL,A,TÉCNICO,COMPLETA,44,50,49,46,41.0,234,08/09/2002 12:00:00 AM,M,GENERACION E - GRATUIDAD
VICHADA,Sin Estrato,3 a 4,Primaria incompleta,Primaria completa,No,No,1 o 2 veces por semana,Todos o casi todos los días,3 a 5 veces por semana,30 minutos o menos,MIXTO,OFICIAL,A,NO APLICA,COMPLETA,47,47,49,35,43.0,222,10/03/2000 12:00:00 AM,M,GENERACION E - GRATUIDAD
VICHADA,Sin Estrato,9 o más,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,No,No,3 a 5 veces por semana,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Entre 1 y 3 horas,MIXTO,OFICIAL,A,TÉCNICO,COMPLETA,28,27,36,32,39.0,157,06/15/1997 12:00:00 AM,M,GENERACION E - GRATUIDAD
VICHADA,Sin Estrato,3 a 4,Primaria incompleta,Ninguno,No,Si,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,3 a 5 veces por semana,No Navega Internet,MIXTO,OFICIAL,A,TÉCNICO,MAÑANA,30,43,46,40,45.0,201,03/24/1994 12:00:00 AM,M,GENERACION E - GRATUIDAD
